frequency,recency,monetary,clusters
21,415,4118.310000000001,1
20,194,44048.000000000015,1
15,582,11745.0,1
15,281,19342.260000000002,1
14,195,7402.919999999997,1
14,265,14196.280000000004,1
13,145,6317.219999999998,1
12,114,3630.24,1
12,330,5300.640000000002,1
12,236,17786.88,1
12,88,2928.2400000000002,1
12,140,14963.639999999998,1
11,178,11531.409999999996,1
11,133,25051.889999999992,1
11,322,19167.260000000006,1
11,41,5948.3600000000015,1
10,161,7971.879999999998,1
10,138,30185.999999999993,1
10,24,11572.800000000001,1
10,337,22346.6,1
10,280,14401.000000000002,1
10,357,17671.0,1
10,237,12300.0,1
9,291,7362.090000000001,1
9,286,7550.730000000001,1
9,169,14577.569999999998,1
8,218,4194.239999999999,1
8,144,3947.3099999999995,1
8,144,2440.32,1
8,281,4838.72,1
8,304,16313.600000000002,1
8,321,1954.4600000000003,1
8,292,4964.48,1
8,340,109312.64,1
7,155,9212.980000000001,1
7,42,5189.31,1
7,217,2150.61,1
7,112,3962.6300000000006,1
7,217,9443.35,1
7,473,6718.390000000001,1
7,147,1844.15,1
7,221,4957.959999999999,1
7,312,3048.36,1
7,20,1466.9899999999998,1
7,92,1474.9299999999998,1
7,377,2971.8500000000004,1
7,283,5093.06,1
7,405,1672.9400000000005,1
7,115,4080.5800000000004,1
7,138,2208.78,1
7,58,2079.14,1
7,220,2951.8300000000004,1
7,287,8697.99,1
7,91,11468.45,1
7,297,2091.53,1
7,138,1593.4100000000003,1
6,64,17069.76,1
6,144,1735.9199999999998,1
6,322,1302.54,1
6,548,1108.8,1
6,174,3955.6799999999994,1
6,130,8425.44,1
6,183,2238.8399999999997,1
6,299,2237.04,1
6,37,618.12,1
6,182,1565.94,1
6,315,2585.88,1
6,322,5920.140000000001,1
6,183,9618.48,1
6,355,1742.4,1
6,227,903.6,1
6,123,2492.64,1
6,35,868.68,1
6,364,2183.94,1
6,218,1620.36,1
6,546,925.56,1
6,400,1440.0,1
6,558,5080.320000000001,1
6,235,4248.52,1
6,189,818.6400000000001,1
6,259,638.6400000000001,1
6,378,924.4800000000001,1
6,99,3019.6799999999994,1
6,11,426.6,1
6,396,1983.9600000000003,1
6,488,1592.64,1
6,139,1739.1600000000003,1
6,106,4198.320000000001,1
6,27,27935.460000000006,1
6,183,986.0400000000001,1
6,63,4447.8,1
6,273,4183.38,1
6,19,2699.9399999999996,1
6,109,2203.56,1
6,189,2232.0,1
6,58,605.7,1
6,483,1620.0,1
6,125,4246.56,1
6,112,5572.08,1
6,129,2740.62,1
6,38,1499.12,1
6,67,1731.6,1
6,307,6524.640000000001,1
6,285,1538.4,1
6,265,1641.9600000000003,1
6,95,19457.04,1
6,23,2425.68,1
6,148,464.0400000000001,1
6,189,1218.54,1
6,371,1652.4,1
6,138,1234.44,1
6,283,1353.6,1
6,589,1177.9,1
6,32,1120.56,1
6,190,2678.4,1
6,175,1178.28,1
6,537,1464.0,1
6,119,2376.3,1
6,231,1926.36,1
6,389,2010.6,1
6,48,8108.640000000001,1
6,377,5875.56,1
6,284,1644.4799999999998,1
6,334,11200.2,1
6,179,879.5899999999999,1
